First name,Last name,Preferred title,Overview,Position,Department,Individual
Alison,Diesel,Clinical Assistant Professor,"I am a clinical associate professor focused primarily on clinical service to dermatology patients and teaching veterinary students. My teaching interests lie in developing integrated and novel teaching methods to enhance the veterinary curriculum along with clinical teaching to fourth year veterinary students on the hospital floor. Additionally, I aim to spread knowledge on practical veterinary dermatology to veterinary practitioners through various local, regional, and national continuing education lectures.  My research interests focus on inflammatory skin disease in companion animals (most specifically feline allergic skin disease), potential clinical applications of microbiome research, methicillin-resistant Staphylococcal skin infections, and applications of radiation therapy in the dermatology patient.",Clinical Assistant Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/na5d385d9
Katheryn,Dietrich,Instructional Associate Professor,,Instructional Associate Professor,Sociology,https://scholars.library.tamu.edu/vivo/display/n23f0013c
Altay,Dikec,Clinical Assistant Professor,,Clinical Assistant Professor,Marketing,https://scholars.library.tamu.edu/vivo/display/na39abaea
Scott,Dindot,Associate Professor,,Associate Professor,Veterinary Pathobiology,https://scholars.library.tamu.edu/vivo/display/n5a986b57
Yu,Ding,Professor,"Dr. Yu Ding is the Mike and Sugar Barnes Professor of Industrial & Systems Engineering, Professor of Electrical & Computer Engineering, Associate Director for Research Engagement of Texas A&M Institute of Data Science (TAMIDS), and a Faculty Affiliate with Texas A&M Energy Institute and TEES Institute of Manufacturing Systems.  Dr. Ding serves on the Executive Committee of Texas A&M TRIPODS Research Institute for Foundations of Interdisciplinary Data Science (FIDS). Dr. Ding's research interest is in data and quality science.  Dr. Ding is the Editor-in-Chief of IISE Transactions (formerly IIE Transactions) for the term of 2021-2024.  He previously served as an Editor for IEEE Transactions on Automation Science and Engineering and a Senior Editor for INFORMS Journal on Data Science.  He also served as a Department Editor for IISE Transactions from 2005 to 2020, as an Associate Editor for IEEE Transactions on Automation Science and Engineering from 2006 to 2009, and a special issue Guest Co-Editor for Technometrics from 2013 to 2015.",Professor,Industrial and Systems Engineering,https://scholars.library.tamu.edu/vivo/display/n273df98f
Khalil,Dirani,Associate Professor,,Associate Professor,Educational Administration and Human Resource Development,https://scholars.library.tamu.edu/vivo/display/n0b21fd01
Madhavi Manish,Dixit,Lecturer,,Lecturer,Landscape Architecture and Urban Planning,https://scholars.library.tamu.edu/vivo/display/nbf468d1f
Manish,Dixit,AssociateProfessor,,Associate Professor,Construction Science,https://scholars.library.tamu.edu/vivo/display/n1920939c
Benika,Dixon,Visiting Assistant Professor,,Visiting Assistant Professor,Epidemiology and Biostatistics,https://scholars.library.tamu.edu/vivo/display/ndd17aaa0
Karen,Dixon,TTI Senior Research Engineer,,TTI Senior Research Engineer,Texas A&M Transportation Institute (TTI),https://scholars.library.tamu.edu/vivo/display/ne804ec65
Marlene,Dixon,Professor,"My research focuses on relationships between sport and life quality. Since the capacity of sport to deliver socially valued outcomes (e.g., health, well-being, sense of community, economic development) depends on the nature of sport program content and delivery, my work endeavors to identify how sport can be designed, managed, and marketed to promote and enhance the life quality of individuals, families, and communities.  Using a human resource management and systems approach, my research has examined the micro (employee, participant), meso (organizational), and macro (delivery system) elements of sport that illumine relationships between the ways that sport programs and systems are designed and implemented, on the one hand, and their consequent outcomes, on the other.  Normatively, these findings also bear implications for modification of sport programs and systems.  Thus, my work has two goals:  (1) to formulate a model that describes and explains relations between the characteristics of sport programs and systems and their consequent effects on the lives of those who provide or who do sport, and (2) to thereby enable formulation, management, and marketing of sport programs that consistently and effectively add value to the lives of individuals, families, the communities in which they live.",Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/n0cbb0886
Stuart,Dixon,Instructional Associate Professor,,Instructional Associate Professor,Health and Kinesiology,https://scholars.library.tamu.edu/vivo/display/n85189216
Iskander,Diyashev,Professor of the Practice,,Professor of the Practice,Petroleum Engineering,https://scholars.library.tamu.edu/vivo/display/n63733841
Abdoulaye,Djire,Assistant Professor,,Assistant Professor,Chemical Engineering,https://scholars.library.tamu.edu/vivo/display/na5f1d6ed
Johnathon,Dodd,Clinical Professor,,Clinical Professor,Small Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n371f4b56
Tisha,Dodge,Adjunct Professor,,Adjunct Professor,School of Law,https://scholars.library.tamu.edu/vivo/display/n81d32d33
Jennifer,Doleac,Associate Professor,,Associate Professor,Economics,https://scholars.library.tamu.edu/vivo/display/n725bbb8e
Brandon,Dominguez,Clinical Associate Professor,,Clinical Associate Professor||Clinical Veterinarian,Division of Research||Large Animal Clinical Sciences,https://scholars.library.tamu.edu/vivo/display/n8fe07535
Darren,Domsky,Associate Professor,,Associate Professor,Liberal Studies,https://scholars.library.tamu.edu/vivo/display/n1dd07047
Michael,Donelan,Lecturer,,Lecturer,Maritime Administration,https://scholars.library.tamu.edu/vivo/display/n656ac895
Xuejun,Dong,Associate Professor,"My program focuses on understanding soil-plant water relations and root/shoot processes for crop management in water-limited cropping systems. The leading research areas include (a) understanding plant biotic and abiotic stresses associated with water deficit and plant adaptation processes; (b) analyzing crop systems and developing new technologies to minimize risk, improve productivity and enhance soil quality and water conservation. I am currently serving as a guest-lecturer to a new graduate course, ""Root Biology"", which is cross-listed in MEPS and HORT at Texas A&M, College Station.",Associate Professor||Associate Professor,Uvalde Research and Extension Center||Texas A&M AgriLife Research,https://scholars.library.tamu.edu/vivo/display/nec170ca9
Ranjeet,Dongaonkar,Assistant Professor,,Assistant Professor,Veterinary Physiology and Pharmacology,https://scholars.library.tamu.edu/vivo/display/nb8d90977
David,Donkor,Associate Professor,,Associate Professor,Performance Studies,https://scholars.library.tamu.edu/vivo/display/nb59187e6
Cydney,Donnell,Executive Professor,,Executive Professor||Associate Department Head,Finance||Finance,https://scholars.library.tamu.edu/vivo/display/na0db1abb
